Nom du festival;Région principale de déroulement;Département principal de déroulement;Code postal (de la commune principale de déroulement);Année de création du festival;Discipline dominante;Période principale de déroulement du festival;Identifiant;Géocodage xy
Courants d’arts;Île-de-France;Val-de-Marne;94250;;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_94037_2380;48.8132044389, 2.34420659702
Faveurs;Provence-Alpes-Côte d'Azur;Var;83400;2003;Musique;Avant-saison (1er janvier - 20 juin);FEST_83069_2600;43.1018713534, 6.18898508469
Salon du livre de la Pierre;Auvergne-Rhône-Alpes;Isère;38570;2004;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_38303_2805;45.2948585917, 5.94144345331
Soirs d'été;Pays de la Loire;Sarthe;72000;2018;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_72181_3132;47.9885256718, 0.200030493539
GPF Guadeloupe poésie festival;Guadeloupe;Guadeloupe;97139;;Livre, littérature;Variable selon les années;FEST_97101_3235;16.2727794035, -61.5017044974
Prise Directe;Hauts-de-France;Nord;59000;2012;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_59350_3359;50.6317183168, 3.04783272312
Le Sous-Marin;Pays de la Loire;Maine-et-Loire;49140;2020;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_49307_3423;47.4219645317, -0.319673646947
Clari'jazz festival;Occitanie;Haute-Garonne;31430;2011;Musique;Saison (21 juin - 5 septembre);FEST_31317_3661;43.3049878647, 1.10662037582
Festival Libres regards;Bourgogne-Franche-Comté;Doubs;25200;2010;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_25388_3998;47.5155169816, 6.79148147353
Festival Quand on conte;Nouvelle-Aquitaine;Vienne;86340;1998;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_86180_4479;46.5052879632, 0.418002332762
La Corde Raide;Pays de la Loire;Loire-Atlantique;44160;2017;Musique;Avant-saison (1er janvier - 20 juin);FEST_44129_5147;47.433636363, -2.09556089039
La ToulHoops;Occitanie;Haute-Garonne;31520;2021;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_31446_5291;43.5441837911, 1.47782372823
Rentrée des Arts Visuels;Bretagne;Ille-et-Vilaine;35000;;Arts visuels, arts numériques;Saison (21 juin - 5 septembre);FEST_35238_5397;48.1119791219, -1.68186449144
Pile au RDV;Hauts-de-France;Nord;59170;2008;Pluridisciplinaire;Saison (21 juin - 5 septembre);FEST_59512_5514;50.6879774811, 3.18258434623
Festival d'Hiver du Cirque Bidon;Centre-Val de Loire;Indre;36160;2015;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_36208_5801;46.5042219323, 2.06769602901
Le Tout Petit Festival musical de st-germain-de-calberte;Occitanie;Lozère;48370;2010;Musique;Avant-saison (1er janvier - 20 juin);FEST_48155_5864;44.2216658847, 3.81002631474
Crussol festival;Auvergne-Rhône-Alpes;Ardèche;7130;2017;Musique;Saison (21 juin - 5 septembre);FEST_07281_6106;44.9410716967, 4.82459034307
Les nuits d'agathos;Provence-Alpes-Côte d'Azur;Var;83530;2017;Musique;Saison (21 juin - 5 septembre);FEST_83118_6141;43.4574625431, 6.84734210398
Le Fest'jazz In Marsaneix;Nouvelle-Aquitaine;Dordogne;24660;2010;Musique;Après-saison (6 septembre - 31 décembre);FEST_24312_6228;45.1273768173, 0.712740186269
Musique cordiale;Provence-Alpes-Côte d'Azur;Var;83440;2005;Musique;Saison (21 juin - 5 septembre);FEST_83124_6311;43.6466457482, 6.61301408536
Bazr;Occitanie;Hérault;34200;2013;Pluridisciplinaire;Après-saison (6 septembre - 31 décembre);FEST_34301_6343;43.3917705831, 3.64705148296
Fragments;Auvergne-Rhône-Alpes;Rhône;69170;;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_69243_6508;45.9036535552, 4.42375959345
1, 2, 3 … CINÉ ! Fait son festival;Centre-Val de Loire;Indre-et-Loire;37000;2015;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_37261_6727;47.3986382281, 0.696526376417
Le Loupiot Salon du Livre de Jeunesse D’uzerche;Nouvelle-Aquitaine;Corrèze;19140;2012;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_19276_6823;45.4238857521, 1.56525480659
Les Mardis d'uzerche;Nouvelle-Aquitaine;Corrèze;19140;2010;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_19276_6824;45.4238857521, 1.56525480659
Embar(o)quement immédiat;Hauts-de-France;Nord;59300;2007;Musique;Avant-saison (1er janvier - 20 juin);FEST_59606_6887;50.3588666163, 3.51567664819
Albi Jazz Festival;Occitanie;Tarn;81000;2019;Musique;avant-saison (1er janvier - 20 juin);FEST_81004_108;43.9258213622, 2.14686328555
Été indien(s);Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13200;2018;Pluridisciplinaire;Après-saison (6 septembre - 31 décembre);FEST_13004_344;43.5468692378, 4.66215642574
Festo pitcho;Provence-Alpes-Côte d'Azur;Vaucluse;84000;2007;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_84007_521;43.9352448339, 4.84071572505
Féria de Beziers;Occitanie;Hérault;34500;1968;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_34032_802;43.3475883319, 3.23076754164
Climax Festival;Nouvelle-Aquitaine;Gironde;33000;2015;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_33063_898;44.8572445351, -0.57369678116
Association Les Petites Choses;Occitanie;Tarn;81130;;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_81048_1155;43.9810206314, 2.11921214
Festival du Conte;Nouvelle-Aquitaine;Landes;40130;1990;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_40065_1239;43.6323255498, -1.42907243956
Les Cents Voix;Nouvelle-Aquitaine;Vienne;86000;2004;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_86066_1571;46.8156700185, 0.552598976936
Les Théâtrales de Collonges La Rouge;Nouvelle-Aquitaine;Corrèze;19500;1991;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_19057_1733;45.0661814484, 1.65335823441
Art Danse;Bourgogne-Franche-Comté;Côte-d'Or;21000;1989;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_21231_1963;47.3229437965, 5.03788805877
Danses, Musiques Et Voix du Monde;Nouvelle-Aquitaine;Creuse;23500;1978;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_23079_2201;45.889520976, 2.18271124708
Les Pierres Parlent;Bretagne;Morbihan;56520;2001;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_56078_2523;47.7940076851, -3.49161886127
A Propos du Japon;Occitanie;Hérault;34280;2015;Pluridisciplinaire;Saison (21 juin - 5 septembre);FEST_34344_2784;43.5685394142, 4.0758328467
Un chapiteau de rencontres - un mois pour les écoles de cirque;Provence-Alpes-Côte d'Azur;Var;83500;2017;Spectacle vivant;;FEST_83126_2866;43.0880294967, 5.87089841754
Les P'tibals;Occitanie;Aude;11220;2012;Spectacle vivant;saison (21 juin - 5 septembre);FEST_11185_2913;43.0957230349, 2.60436046295
Les Plages Pop;Nouvelle-Aquitaine;Gironde;33950;2012;Musique;Saison (21 juin - 5 septembre);FEST_33236_3219;44.7609440223, -1.19293697437
Région en scène;Pays de la Loire;Loire-Atlantique;44270;2017;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_44087_3594;46.9910784513, -1.82345670327
Paris Est Têtu;Île-de-France;Paris;75016;;Musique;Après-saison (6 septembre - 31 décembre);FEST_75116_4823;48.8567, 2.3508
Les bravos de la nuit;Auvergne-Rhône-Alpes;Loire;42410;1987;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_42168_4937;45.4230806352, 4.65991656851
Salon du livre de Prades;Auvergne-Rhône-Alpes;Haute-Loire;43300;2009;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_43155_5211;45.0245718989, 3.59400900107
Festival des choeurs lauréats;Provence-Alpes-Côte d'Azur;Vaucluse;84110;1993;Musique;Saison (21 juin - 5 septembre);FEST_84137_6847;44.247701867, 5.06040782309
Bidasoa Folk;Nouvelle-Aquitaine;Pyrénées-Atlantiques;64700;2001;Musique;Saison (21 juin - 5 septembre);FEST_64260_2557;43.3656373687, -1.76396662
Fête de l'Anim';Hauts-de-France;Nord;59000;2004;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_59350_3332;50.6317183168, 3.04783272312
Eurocuivres;Bourgogne-Franche-Comté;Doubs;25200;1999;Musique;Saison (21 juin - 5 septembre);FEST_25388_3995;47.5155169816, 6.79148147353
Journées du cinéma suisse;Occitanie;Hérault;34000;2008;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_34172_4098;43.6134409138, 3.86851657896
Les nouvelles rencontres de Brangues;Auvergne-Rhône-Alpes;Isère;38510;;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_38261_4165;45.6800024667, 5.47063929574
L'Été essentiel;Centre-Val de Loire;Loiret;45000;2021;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_45234_4545;47.8828634214, 1.91610357477
Les guinguettes;Bretagne;Morbihan;56930;2018;Musique;Saison (21 juin - 5 septembre);FEST_56173_5086;47.9650479618, -2.98095397344
Écoutez Voir;Nouvelle-Aquitaine;Vienne;86000;2008;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_86194_5106;46.5839207726, 0.359947653003
Terre de jazz en Savès;Occitanie;Haute-Garonne;31370;;Musique;Avant-saison (1er janvier - 20 juin);FEST_31435_5203;43.423058709, 1.16684453964
Les Enfants sont des Princes;Bretagne;Finistère;29000;2015;Pluridisciplinaire;Saison (21 juin - 5 septembre);FEST_29232_5272;47.9971425162, -4.09111944455
Les rencontres documentaires Des Histoires;Bretagne;Ille-et-Vilaine;35000;2014;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_35238_5383;48.1119791219, -1.68186449144
Festival du rire;Occitanie;Hautes-Pyrénées;65200;2016;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_65059_566;42.9758668859, 0.132640694318
Val de Lire - Salon du livre jeunesse;Centre-Val de Loire;Loiret;45190;1985;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_45028_674;47.7781494309, 1.63946818857
Jubil'à Jongle;Nouvelle-Aquitaine;Gironde;33290;2007;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_33056_847;44.9231492741, -0.612268950301
Festival idéal;Occitanie;Aude;11150;;Spectacle vivant;avant-saison (1er janvier - 20 juin);FEST_11049_1022;43.2514206471, 2.11029895207
Jaune Moutarde;Bourgogne-Franche-Comté;Nièvre;58140;2017;Pluridisciplinaire;Saison (21 juin - 5 septembre);FEST_58037_1029;47.2637724452, 3.93404612826
Obliques;Bretagne;Finistère;29200;;Pluridisciplinaire;Après-saison (6 septembre - 31 décembre);FEST_29019_1053;48.4004997828, -4.5027907853
Festival Si cinéma;Normandie;Calvados;14000;2018;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_14118_1145;49.1847936737, -0.369801713036
Kleg Festival;Bretagne;Morbihan;56480;1986;Musique;Avant-saison (1er janvier - 20 juin);FEST_56041_1653;48.1278326906, -3.0634223364
Palais en jazz;Hauts-de-France;Oise;60200;2012;Musique;Saison (21 juin - 5 septembre);FEST_60159_1775;49.3990601478, 2.85317249363
Les Soirées de Chazeron;Auvergne-Rhône-Alpes;Puy-de-Dôme;63800;;Musique;Saison (21 juin - 5 septembre);FEST_63124_1851;45.7429670015, 3.18687581638
Festival des 37;Pays de la Loire;Mayenne;53400;2018;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_53084_1868;47.8454412251, -0.943066490216
Festival Films Courts Dinan;Bretagne;Côtes-d'Armor;22100;2017;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_22050_1999;48.4557709953, -2.04816149693
Feuyas'tival;Nouvelle-Aquitaine;Haute-Vienne;87230;2018;Musique;Saison (21 juin - 5 septembre);FEST_87060_2046;45.629584088, 0.918572363305
Jazz et Vin en Double;Nouvelle-Aquitaine;Dordogne;24490;2015;Musique;Saison (21 juin - 5 septembre);FEST_24354_2818;45.1355934306, 0.0550563261049
Festival de la sorgue;Provence-Alpes-Côte d'Azur;Vaucluse;84800;;Pluridisciplinaire;Saison (21 juin - 5 septembre);FEST_84054_3406;43.913397592, 5.05664277545
Les herbes folles;Auvergne-Rhône-Alpes;Ain;1800;2016;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_01244_3895;45.9060530318, 5.20404833653
Trad'oc'tomnales;Occitanie;Gers;32170;;Musique;Après-saison (6 septembre - 31 décembre);FEST_32252_3915;43.4293162971, 0.310399473004
Hangar;Bretagne;Morbihan;56490;2016;Musique;Saison (21 juin - 5 septembre);FEST_56134_3942;48.0633640521, -2.49561629627
Noël au pays du jouet;Bourgogne-Franche-Comté;Jura;39260;2006;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_39333_3944;46.4388080084, 5.73795329823
Festival Monte au banc !;Occitanie;Tarn-et-Garonne;82000;;Spectacle vivant;avant-saison (1er janvier - 20 juin);FEST_82121_3981;44.0222594578, 1.36408636501
Cultures Aux Coeurs;Nouvelle-Aquitaine;Dordogne;24290;1981;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_24291_1;45.0627368774, 1.15422675286
Tout P'tit Festival;Nouvelle-Aquitaine;Pyrénées-Atlantiques;64150;2010;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_64410_4209;43.3740220656, -0.617464224458
Festival d'été de Châteauvallon;Provence-Alpes-Côte d'Azur;Var;83192;1970;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_83090_4513;43.1386133658, 5.85369204547
P/CAS - Paris contemporary art show by YIA ART FAIR;Île-de-France;Paris;75003;2010;Arts visuels, arts numériques;Après-saison (6 septembre - 31 décembre);FEST_75103_4813;48.8567, 2.3508
L'Ascension Du Son;Bretagne;Côtes-d'Armor;22150;2017;Musique;Avant-saison (1er janvier - 20 juin);FEST_22184_5050;48.3378874008, -2.67639170288
Festival en garrigue;Occitanie;Aude;11210;2006;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_11266_5188;43.0210644931, 3.03976442192
Les petits pas;Hauts-de-France;Nord;59100;2006;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_59512_5513;50.6879774811, 3.18258434623
Grav'ment jazz;Occitanie;Tarn-et-Garonne;82210;2016;Musique;Saison (21 juin - 5 septembre);FEST_82169_5618;44.0658425315, 1.02023020877
Festival international de musique de chambre;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13300;1993;Musique;Saison (21 juin - 5 septembre);FEST_13103_6206;43.6462885238, 5.06814649576
Festival des Arts en Folie;Nouvelle-Aquitaine;Dordogne;24200;1999;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_24520_6242;44.8983558068, 1.2066486429
Colors Urban Art Festival;Grand Est;Bas-Rhin;67000;2019;Arts visuels, arts numériques;Avant-saison (1er janvier - 20 juin);FEST_67482_6427;48.5712679849, 7.76752679517
Festival flamenco de Toulouse (automne);Occitanie;Haute-Garonne;31200;2002;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_31555_6651;43.5963814303, 1.43167293364
Rendez-vous du cinéma - Région centre (ACC);Centre-Val de Loire;Indre-et-Loire;37000;2010;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_37261_6753;47.3986382281, 0.696526376417
Hestejada de Las Arts;Nouvelle-Aquitaine;Gironde;33730;1978;Musique;Saison (21 juin - 5 septembre);FEST_33537_6835;44.4334139021, -0.324575198234
FestiLoir;Pays de la Loire;Sarthe;72500;2003;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_72364_6837;47.6723014522, 0.315373744758
Rue(z) & vous !;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6560;;Pluridisciplinaire;Saison (21 juin - 5 septembre);FEST_06152_6861;43.628288325, 7.02954476696
Japan aurea;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6220;2007;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_06155_6899;43.5766472999, 7.05836612893
Biennale de danse du Val-de-Marne;Île-de-France;Val-de-Marne;94400;1980;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_94081_7177;48.7882828307, 2.39412680533
Yzeures'n'Rock;Centre-Val de Loire;Indre-et-Loire;37290;2006;Musique;Saison (21 juin - 5 septembre);FEST_37282_7235;46.7902872236, 0.876208149129
Festival l'Occitanie fait son cirque en Avignon;Occitanie;Gard;84000;2006;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_30007_136;44.1250099126, 4.08828501262
Des Bulles dans la ville;Île-de-France;Hauts-de-Seine;92160;2002;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_92002_288;48.7503412602, 2.2993268102
Festiv'asques;Nouvelle-Aquitaine;Gironde;33240;2007;Musique;Avant-saison (1er janvier - 20 juin);FEST_33016_397;44.948000841, -0.426140042682
Les Estivales du Tango;Occitanie;Hautes-Pyrénées;65200;2019;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_65059_568;42.9758668859, 0.132640694318
Caribulles - Festival caribéen de la bande dessinée, du manga et de l’album de jeunesse en Guadeloupe;Guadeloupe;Guadeloupe;97122;2010;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_97103_592;16.251171116, -61.5929355877
Afriques en Vision;Nouvelle-Aquitaine;Gironde;33000;2016;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_33063_893;44.8572445351, -0.57369678116
Fiesta - tango argentino;Provence-Alpes-Côte d'Azur;Var;83230;2015;Musique;Saison (21 juin - 5 septembre);FEST_83019_936;43.1622722101, 6.34956987347
Vice et versa;Auvergne-Rhône-Alpes;Drôme;26500;16ème;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_26058_1004;44.9651094188, 4.89411636376
Festival Electrochoc;Auvergne-Rhône-Alpes;Isère;38300;14ème;Musique;Avant-saison (1er janvier - 20 juin);FEST_38053_1007;45.6022027954, 5.27393762111
Les belles journées;Auvergne-Rhône-Alpes;Isère;38300;2015;Musique;Après-saison (6 septembre - 31 décembre);FEST_38053_1008;45.6022027954, 5.27393762111
So Good Festival;Nouvelle-Aquitaine;Gironde;33610;2011;Musique;Avant-saison (1er janvier - 20 juin);FEST_33090_1202;44.7598891584, -0.65697711026
Festival 1 pas de 4;Occitanie;Aude;11076;2019;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_11076_1309;43.3230173159, 1.96073752488
Paysages de Cinéastes;Île-de-France;Hauts-de-Seine;92290;2001;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_92019_1577;48.7681690197, 2.26282598525
Le  Chien Jaune;Bretagne;Finistère;29900;1993;Livre, littérature;Saison (21 juin - 5 septembre);FEST_29039_1778;47.8966260003, -3.90716871821
Exposition d’oeuvres in situ d'art contemporain;Occitanie;Gers;32100;2010;Arts visuels, arts numériques;saison (21 juin - 5 septembre);FEST_32107_1790;43.9716968333, 0.374186827134
Festival Musiques Rive Gauche;Bretagne;Ille-et-Vilaine;35800;2015;Musique;Saison (21 juin - 5 septembre);FEST_35093_2011;48.6241805945, -2.0619828606
Festi'fanjeaux;Occitanie;Aude;11270;;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_11136_2183;43.1870163521, 2.03666099746
Trophées du Carnaval de la Martinique;Martinique;Martinique;97200;1998;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_97209_2290;14.6411114389, -61.0691889244
Fête Musicale de la Forêt;Grand Est;Meuse;55120;;Musique;Saison (21 juin - 5 septembre);FEST_55202_2336;49.0766831895, 5.0069025981
Festival du film court en plein-air de Grenoble;Auvergne-Rhône-Alpes;Isère;38000;1977;Cinéma, audiovisuel;Saison (21 juin - 5 septembre);FEST_38185_2464;45.1821215167, 5.72133051752
Boogie Spirit Festival;Grand Est;Bas-Rhin;67400;01/01/2015 00:00;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_67218_2618;48.5200498962, 7.73129588098
Plein la bobine;Auvergne-Rhône-Alpes;Puy-de-Dôme;63150;2003;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_63047_2711;45.5796236201, 2.7501805247
Les Jardins-Jeudis de La Spouze;Nouvelle-Aquitaine;Creuse;23230;2000;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_23040_2720;46.2188855114, 2.20927433054
Useless fest;Pays de la Loire;Sarthe;72200;2015;Musique;Saison (21 juin - 5 septembre);FEST_72154_2770;47.6893893794, -0.0646954849714
Festival d'Anjou;Pays de la Loire;Maine-et-Loire;49770;1950;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_49200_3425;47.5607664036, -0.683468497352
Les Deizioù;Bretagne;Morbihan;56100;1985;Arts visuels, arts numériques;Avant-saison (1er janvier - 20 juin);FEST_56121_3445;47.7500486947, -3.37823200917
