Nom du festival;Région principale de déroulement;Département principal de déroulement;Code postal (de la commune principale de déroulement);Année de création du festival;Discipline dominante;Période principale de déroulement du festival;Identifiant;Géocodage xy
American Saloon à Tarbes;Occitanie;Hautes-Pyrénées;65000;2015;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_65440_6510;43.2347859635, 0.0660093937851
Les rencontres de Theizé;Auvergne-Rhône-Alpes;Rhône;69620;2011;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_69246_6541;45.9407758878, 4.62735896797
Fête du Livre Vivant;Occitanie;Pyrénées-Orientales;66300;2002;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_66210_6576;42.6434195538, 2.75897243961
Festival des cultures du monde;Auvergne-Rhône-Alpes;Allier;3800;46ème;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_03118_2346;46.0984192073, 3.17790823629
Aux Actes Citoyens;Grand Est;Meurthe-et-Moselle;54510;1993;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_54526_6584;48.6859541528, 6.22129283302
Festival flamenco de Toulouse (printemps);Occitanie;Haute-Garonne;31200;2002;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_31555_6652;43.5963814303, 1.43167293364
Jazz en sol mineur;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13850;2003;Musique;Saison (21 juin - 5 septembre);FEST_13046_2452;43.4262029745, 5.54685109195
La Voix du Rock;Nouvelle-Aquitaine;Vienne;86700;2015;Musique;Avant-saison (1er janvier - 20 juin);FEST_86082_6885;46.2960515844, 0.179497066899
Les monts de la balle;Auvergne-Rhône-Alpes;Loire;42600;1996;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_42328_7006;45.5680113401, 3.98919241451
Fête des Chavans;Auvergne-Rhône-Alpes;Allier;3320;;Musique;Saison (21 juin - 5 septembre);FEST_03064_1555;46.7817092789, 2.98716115012
Festival Vibra'mômes;Normandie;Orne;61000;2010;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_61001_126;48.4318193082, 0.0915406916107
Fête de la Bascule;Bretagne;Morbihan;56350;;Musique;;FEST_56001_147;47.6392193445, -2.17681507496
Aubercail;Île-de-France;Seine-Saint-Denis;93300;01/01/2007 00:00;Musique;Avant-saison (1er janvier - 20 juin);FEST_93001_418;48.9121722626, 2.38445513768
Les Arts métis;Occitanie;Hérault;34540;2016;Musique;Saison (21 juin - 5 septembre);FEST_34023_597;43.4469007065, 3.69072086799
